time,temperatura,valor_umidade,nivel_umidade,bomba,fosforo,potassio,valor_ph,nivel_ph
2045,2.80,69.50,OK,desligada,alto,8.0,1001,baixo
3053,2.80,69.50,OK,desligada,alto,8.0,1001,baixo
4055,2.80,69.50,OK,desligada,alto,8.0,1437,baixo
5063,2.80,69.50,OK,desligada,alto,15.0,1437,baixo
6065,2.80,69.50,OK,desligada,alto,15.0,1437,baixo
7073,2.80,69.50,OK,desligada,baixo,15.0,1437,baixo
8075,2.80,69.50,OK,desligada,baixo,15.0,1437,baixo
9083,12.90,61.00,OK,desligada,baixo,15.0,1437,baixo
10085,12.90,61.00,OK,desligada,baixo,15.0,1437,baixo
11093,33.10,49.50,baixo,ligada,baixo,15.0,1437,baixo
12095,33.10,49.50,baixo,ligada,baixo,15.0,1437,baixo
13103,33.10,49.50,baixo,ligada,baixo,15.0,999,alto
14105,33.10,49.50,baixo,ligada,baixo,8.0,698,alto
15113,33.10,49.50,baixo,ligada,alto,8.0,698,alto
16115,33.10,49.50,baixo,ligada,alto,8.0,698,alto
17123,18.20,60.00,OK,desligada,alto,8.0,698,alto
18125,18.20,60.00,OK,desligada,alto,8.0,698,alto
19133,26.70,47.50,baixo,ligada,alto,8.0,698,alto
20135,26.70,47.50,baixo,ligada,alto,8.0,698,alto
21143,26.70,47.50,baixo,ligada,alto,8.0,1179,baixo
22145,26.70,47.50,baixo,ligada,alto,8.0,2562,baixo
23153,26.70,47.50,baixo,ligada,alto,8.0,2562,baixo
24155,26.70,47.50,baixo,ligada,alto,8.0,2562,baixo
25163,26.70,47.50,baixo,ligada,alto,15.0,2562,baixo
26165,26.70,47.50,baixo,ligada,baixo,15.0,2562,baixo
27173,26.70,47.50,baixo,ligada,baixo,15.0,2562,baixo
28175,26.70,47.50,baixo,ligada,baixo,15.0,2562,baixo
29183,44.80,36.00,baixo,ligada,baixo,15.0,2562,baixo
30185,44.80,36.00,baixo,ligada,baixo,15.0,2562,baixo
31193,44.80,36.00,baixo,ligada,baixo,15.0,3017,baixo
32195,44.80,36.00,baixo,ligada,baixo,15.0,3017,baixo
33203,44.80,36.00,baixo,ligada,baixo,15.0,3017,baixo
34205,44.80,36.00,baixo,ligada,baixo,15.0,3017,baixo
35213,44.80,49.50,baixo,ligada,baixo,15.0,3017,baixo
36215,44.80,49.50,baixo,ligada,baixo,15.0,3017,baixo
37223,33.10,49.50,baixo,ligada,baixo,15.0,3017,baixo
38225,33.10,49.50,baixo,ligada,alto,8.0,3017,baixo
39233,33.10,49.50,baixo,ligada,alto,8.0,3017,baixo
40235,33.10,49.50,baixo,ligada,alto,8.0,1686,baixo
41243,33.10,49.50,baixo,ligada,alto,8.0,1686,baixo
42245,33.10,49.50,baixo,ligada,alto,8.0,1686,baixo
43253,19.30,62.50,OK,desligada,alto,8.0,1686,baixo
44255,19.30,62.50,OK,desligada,baixo,8.0,1686,baixo
45263,19.30,62.50,OK,desligada,baixo,8.0,1686,baixo
46265,19.30,62.50,OK,desligada,baixo,8.0,1686,baixo
47273,19.30,62.50,OK,desligada,baixo,8.0,1686,baixo
48275,19.30,62.50,OK,desligada,baixo,8.0,1686,baixo
49283,8.70,51.00,OK,desligada,baixo,8.0,1686,baixo
50285,8.70,51.00,OK,desligada,baixo,8.0,1686,baixo
51293,8.70,51.00,OK,desligada,baixo,8.0,1074,baixo
52295,8.70,51.00,OK,desligada,baixo,8.0,488,alto
53303,8.70,51.00,OK,desligada,baixo,8.0,488,alto
54305,8.70,51.00,OK,desligada,baixo,15.0,488,alto
55313,8.70,51.00,OK,desligada,alto,15.0,488,alto
56315,8.70,51.00,OK,desligada,alto,15.0,488,alto
57323,8.70,68.00,OK,desligada,alto,15.0,488,alto
58325,8.70,68.00,OK,desligada,alto,15.0,488,alto
59333,8.70,68.00,OK,desligada,alto,15.0,999,alto
60335,8.70,68.00,OK,desligada,baixo,15.0,999,alto
61343,8.70,68.00,OK,desligada,baixo,15.0,999,alto
62345,8.70,68.00,OK,desligada,baixo,15.0,999,alto
63353,22.50,53.00,OK,desligada,baixo,15.0,999,alto
64355,22.50,53.00,OK,desligada,baixo,15.0,999,alto
65363,22.50,53.00,OK,desligada,baixo,15.0,1378,baixo
66365,22.50,53.00,OK,desligada,baixo,15.0,1378,baixo
67373,37.30,69.00,OK,desligada,baixo,15.0,1378,baixo
68375,37.30,69.00,OK,desligada,baixo,15.0,1378,baixo
69383,37.30,47.50,baixo,ligada,baixo,15.0,1378,baixo
70385,37.30,47.50,baixo,ligada,baixo,8.0,1378,baixo
71393,37.30,47.50,baixo,ligada,baixo,8.0,1378,baixo
72395,37.30,47.50,baixo,ligada,alto,8.0,1378,baixo
73403,37.30,47.50,baixo,ligada,alto,8.0,1946,baixo
74405,37.30,47.50,baixo,ligada,alto,8.0,1946,baixo
75413,37.30,47.50,baixo,ligada,alto,8.0,1946,baixo
76415,37.30,47.50,baixo,ligada,alto,8.0,1946,baixo
77423,37.30,60.00,OK,desligada,alto,8.0,1946,baixo
78425,37.30,60.00,OK,desligada,alto,8.0,1946,baixo
79433,37.30,60.00,OK,desligada,baixo,15.0,1946,baixo
80435,37.30,60.00,OK,desligada,baixo,15.0,1946,baixo
81443,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
82445,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
83453,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
84455,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
85463,37.30,60.00,OK,desligada,baixo,15.0,1946,baixo
86465,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
87473,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
88475,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
89483,37.30,60.00,OK,desligada,baixo,8.0,1946,baixo
90485,37.30,60.00,OK,desligada,baixo,8.0,951,alto
