Time,Temp. Max. (C),URA (%),Chuva (mm)
08/04/2025 00:00,17.0,57.0,0.0
08/04/2025 12:00,20.0,52.4,0.0
09/04/2025 00:00,16.6,54.0,0.0
09/04/2025 12:00,22.5,62.4,0.0
10/04/2025 00:00,18.4,49.9,0.0
10/04/2025 12:00,21.0,76.0,0.0
11/04/2025 00:00,16.5,95.0,1.2
11/04/2025 12:00,20.5,85.3,0.0
12/04/2025 00:00,17.3,65.9,0.0
12/04/2025 12:00,22.4,54.4,0.0
13/04/2025 00:00,16.2,62.0,0.0
13/04/2025 12:00,22.7,89.0,2.8
14/04/2025 00:00,18.7,75.4,0.0
14/04/2025 12:00,22.5,74.2,0.0
15/04/2025 00:00,18.0,65.7,0.0
15/04/2025 12:00,23.5,58.8,0.0
16/04/2025 00:00,18.8,53.3,0.0
16/04/2025 12:00,25.0,58.8,0.0
17/04/2025 00:00,21.5,62.9,0.0
17/04/2025 12:00,27.0,65.0,0.0
18/04/2025 00:00,20.9,62.8,0.0
18/04/2025 12:00,25.0,61.1,0.0
19/04/2025 00:00,19.5,59.6,0.0
19/04/2025 12:00,25.7,52.7,0.0
20/04/2025 00:00,22.2,52.0,0.0
20/04/2025 12:00,25.8,84.7,0.0
21/04/2025 00:00,17.9,100.0,18.5
21/04/2025 12:00,24.0,98.3,2.4
22/04/2025 00:00,19.4,100.0,11.2
22/04/2025 12:00,27.0,93.0,0.0
23/04/2025 00:00,21.6,88.5,0.0
23/04/2025 12:00,25.2,76.8,0.0
24/04/2025 00:00,21.1,82.0,0.0
24/04/2025 12:00,24.8,92.0,0.0
25/04/2025 00:00,22.1,100.0,9.8
25/04/2025 12:00,22.9,92.0,0.0
26/04/2025 00:00,17.9,77.7,0.0
26/04/2025 12:00,23.0,76.2,0.0
27/04/2025 00:00,15.2,65.4,0.0
27/04/2025 12:00,21.0,66.2,0.0
28/04/2025 00:00,12.4,69.7,0.0
28/04/2025 12:00,15.3,63.4,0.0
29/04/2025 00:00,9.9,56.6,0.0
29/04/2025 12:00,17.4,54.6,0.0
30/04/2025 00:00,7.8,100.0,16.6
30/04/2025 12:00,16.0,96.4,12.2
01/05/2025 00:00,5.5,98.8,2.6
01/05/2025 12:00,13.0,100.0,14.7
02/05/2025 00:00,6.7,100.0,4.3
02/05/2025 12:00,15.5,97.0,0.0
03/05/2025 00:00,8.8,68.0,0.0
03/05/2025 12:00,14.8,56.4,0.0
04/05/2025 00:00,8.3,49.9,0.0
04/05/2025 12:00,14.0,57.5,0.0
05/05/2025 00:00,7.7,58.8,0.0
05/05/2025 12:00,15.0,81.0,0.0
06/05/2025 00:00,7.9,100.0,3.3
06/05/2025 12:00,14.0,100.0,17.7
07/05/2025 00:00,9.9,100.0,6.5
07/05/2025 23:00,16.7,89.5,2.2
08/05/2025 00:00,11.7,62.0,0.0
08/05/2025 12:00,18.0,65.8,0.0
09/05/2025 00:00,10.2,65.0,0.0
09/05/2025 12:00,17.7,65.4,0.0
10/05/2025 00:00,14.4,60.0,0.0
10/05/2025 12:00,20.4,57.9,0.0
11/05/2025 00:00,12.2,87.3,0.9
11/05/2025 12:00,15.8,84.0,1.1
12/05/2025 00:00,10.1,100.0,12.8
12/05/2025 12:00,13.6,100.0,21.9
13/05/2025 00:00,9.0,100.0,9.4
13/05/2025 12:00,16.0,100.0,12.1
14/05/2025 00:00,11.3,100.0,6.7
14/05/2025 12:00,15.5,100.0,1.8
15/05/2025 00:00,12.1,89.4,2.4
15/05/2025 12:00,14.9,85.0,0.0
16/05/2025 00:00,9.5,69.0,0.0
16/05/2025 12:00,15.8,100.0,8.8
17/05/2025 00:00,12.0,69.0,0.0
17/05/2025 12:00,16.8,87.0,5.2
18/05/2025 00:00,12.2,70.0,2.0
18/05/2025 12:00,18.3,56.8,0.0
19/05/2025 00:00,12.5,53.0,0.0
19/05/2025 12:00,19.1,64.4,0.0
20/05/2025 00:00,12.5,63.0,0.0
20/05/2025 12:00,20.0,59.8,0.0
21/05/2025 00:00,13.7,54.1,0.0
21/05/2025 12:00,22.3,52.2,0.0
22/05/2025 00:00,16.3,65.9,0.0
22/05/2025 12:00,26.9,68.4,0.0
23/05/2025 00:00,20.9,62.3,0.0
23/05/2025 12:00,28.4,65.0,0.0
24/05/2025 00:00,22.2,76.0,0.0
24/05/2025 12:00,27.0,65.2,0.0
25/05/2025 00:00,19.7,64.9,0.0
25/05/2025 12:00,24.5,58.8,0.0
26/05/2025 00:00,18.6,63.0,0.0
26/05/2025 12:00,26.5,59.0,0.0
27/05/2025 00:00,20.5,59.0,0.0
27/05/2025 12:00,27.3,65.7,0.0
28/05/2025 00:00,21.1,68.0,0.0
28/05/2025 12:00,26.2,64.0,0.0
29/05/2025 00:00,22.9,87.0,0.2
29/05/2025 12:00,24.2,78.0,0.0
30/05/2025 00:00,22.0,54.0,0.0
30/05/2025 12:00,25.4,59.9,0.0
31/05/2025 00:00,19.7,60.0,0.0
31/05/2025 12:00,27.7,61.1,0.0
01/06/2025 00:00,21.1,58.0,0.0
01/06/2025 12:00,26.3,51.0,0.0
02/06/2025 00:00,17.9,49.0,0.0
03/06/2025 12:00,21.7,57.7,0.0
04/06/2025 00:00,15.5,62.1,0.0
05/06/2025 12:00,22.7,59.2,0.0
06/06/2025 00:00,14.8,66.5,0.0
07/06/2025 12:00,24.0,54.4,0.0
08/06/2025 00:00,16.8,54.3,0.0
